team_id,team,elo
16,Nashville SC,1567.5209448030873
12,Inter Miami,1554.9914247094696
30,Vancouver Whitecaps,1542.7583572674305
25,San Jose Earthquakes,1534.884639264288
13,Los Angeles FC,1524.2781076758681
10,FC Dallas,1521.003562868541
23,Real Salt Lake,1517.590809215838
4,Chicago Fire,1517.0618006358627
17,New England Revolution,1514.9261125109306
9,FC Cincinnati,1510.2379600328213
26,Seattle Sounders,1508.0444158058076
28,St. Louis City,1507.9812017461156
11,Houston Dynamo,1507.6901914765876
15,Minnesota United,1499.9641625497209
18,New York City,1499.3732639485868
19,New York Red Bulls,1498.4749185702817
8,DC United,1494.7186216814564
3,Charlotte,1494.604177347717
22,Portland Timbers,1486.593688324435
14,Los Angeles Galaxy,1485.3189841295105
6,Colorado Rapids,1482.8510550363658
1,Austin FC,1481.3039561681976
20,Orlando City,1479.8815956419096
24,San Diego FC,1476.7099646234378
29,Toronto FC,1476.5245788848993
7,Columbus Crew,1470.934658841789
2,CF Montreal,1468.5756153198586
27,Sporting Kansas City,1465.5012811395925
0,Atlanta Utd,1456.150128088431
21,Philadelphia Union,1453.5498216911626
